iter	RMSE
0	14.67882474
1	14.30837967
2	13.91980227
3	13.55239374
4	13.20124754
5	12.91847041
6	12.61737471
7	12.33090463
8	12.05619984
9	11.76577336
10	11.49089443
11	11.24967174
12	11.03845111
13	10.80419035
14	10.57000072
15	10.32688412
16	10.10615477
17	9.907635319
18	9.697590079
19	9.505485066
20	9.332125333
21	9.169755003
22	9.003370522
23	8.843694517
24	8.6850642
25	8.537249999
26	8.401234854
27	8.275246182
28	8.147048022
29	8.025857788
30	7.91820673
31	7.793012154
32	7.693245296
33	7.595121748
34	7.485523305
35	7.388441831
36	7.29518963
37	7.21477703
38	7.134979174
39	7.053093305
40	6.983501523
41	6.92099837
42	6.846509719
43	6.787362059
44	6.727105627
45	6.660346644
46	6.607100999
47	6.549281782
48	6.491578025
49	6.437386141
50	6.379340925
51	6.33157946
52	6.281924464
53	6.237980169
54	6.193484886
55	6.150669145
56	6.11275161
57	6.072581053
58	6.032577283
59	6.002727606
60	5.969732696
61	5.936605158
62	5.907181035
63	5.873272145
64	5.847837172
65	5.822658569
66	5.794514059
67	5.765826732
68	5.741375265
69	5.716493449
70	5.691848087
71	5.672533142
72	5.651980288
73	5.630548307
74	5.61159192
75	5.594895656
76	5.57844143
77	5.563555971
78	5.545605616
79	5.526039603
80	5.516759675
81	5.497931353
82	5.482399092
83	5.469662787
84	5.462673448
85	5.44611104
86	5.440228392
87	5.428121728
88	5.414656788
89	5.40058931
90	5.389324065
91	5.377434349
92	5.365291475
93	5.352041957
94	5.341797488
95	5.331928947
96	5.324891502
97	5.316896598
98	5.308478675
99	5.299772226
100	5.292725777
101	5.287125271
102	5.277270826
103	5.268456565
104	5.259639232
105	5.24975504
106	5.242973919
107	5.231693502
108	5.22464616
109	5.214794639
110	5.208956037
111	5.196815785
112	5.190118816
113	5.182234511
114	5.175106106
115	5.16912123
116	5.16152346
117	5.154743468
118	5.147853593
119	5.141034034
120	5.131091151
121	5.122224514
122	5.113442367
123	5.107950205
124	5.10417515
125	5.098043753
126	5.092256354
127	5.087477918
128	5.078580472
129	5.073313271
130	5.069221177
131	5.063847335
132	5.057694507
133	5.053108997
134	5.04891783
135	5.045759471
136	5.039160458
137	5.030199243
138	5.026985516
139	5.02415149
140	5.019774673
141	5.013667304
142	5.010693227
143	5.005772992
144	4.999941848
145	4.994861194
146	4.991660793
147	4.986409301
148	4.982489876
149	4.978258023
150	4.974915068
151	4.972030437
152	4.968282038
153	4.963965911
154	4.961589058
155	4.957216799
156	4.953274707
157	4.948965098
158	4.944933274
159	4.941987165
160	4.93713804
161	4.93342476
162	4.930274898
163	4.926196818
164	4.925480927
165	4.922950301
166	4.918687211
167	4.912428356
168	4.906547999
169	4.902112043
170	4.898007628
171	4.89495619
172	4.890917069
173	4.887223427
174	4.881451329
175	4.877393301
176	4.870844683
177	4.867735951
178	4.863728537
179	4.860765525
180	4.856989462
181	4.850744347
182	4.844573872
183	4.841788617
184	4.835313154
185	4.833031288
186	4.83020501
187	4.824258698
188	4.820319091
189	4.817533055
190	4.81243344
191	4.807140474
192	4.803270717
193	4.799116182
194	4.795661782
195	4.79403044
196	4.790949874
197	4.785598388
198	4.784413996
199	4.780314737
200	4.779046986
201	4.774926945
202	4.772496155
