iter	Passed	Remaining
0	274	274246
1	275	137697
2	277	92080
3	278	69252
4	279	55558
5	281	46685
6	283	40237
7	285	35374
8	286	31585
9	288	28560
10	290	26073
11	291	24022
12	293	22270
13	296	20899
14	298	19598
15	299	18447
16	302	17474
17	304	16589
18	305	15786
19	307	15063
20	310	14482
21	312	13873
22	313	13314
23	315	12810
24	316	12333
25	317	11885
26	318	11470
27	319	11083
28	320	10723
29	321	10386
30	322	10072
31	323	9776
32	325	9526
33	325	9261
34	326	9008
35	327	8771
36	328	8558
37	329	8346
38	330	8144
39	331	7953
40	332	7771
41	333	7597
42	333	7432
43	334	7272
44	335	7119
45	336	6972
46	336	6830
47	337	6694
48	339	6595
49	340	6476
50	341	6358
51	342	6243
52	343	6131
53	344	6027
54	344	5922
55	345	5820
56	345	5723
57	347	5641
58	348	5554
59	349	5471
60	350	5389
61	351	5310
62	351	5234
63	352	5160
64	353	5089
65	354	5018
66	355	4948
67	356	4880
68	356	4815
69	357	4751
70	358	4689
71	359	4629
72	360	4584
73	362	4529
74	362	4476
75	363	4422
76	364	4368
77	365	4315
78	365	4263
79	366	4213
80	366	4162
81	367	4114
82	368	4067
83	368	4021
84	369	3973
85	369	3930
86	370	3889
87	371	3850
88	372	3813
89	373	3777
90	374	3742
91	375	3709
92	377	3678
93	379	3659
94	380	3625
95	381	3593
96	382	3559
97	383	3527
98	384	3497
99	385	3467
100	386	3437
101	386	3405
102	387	3376
103	388	3347
104	389	3318
105	390	3296
106	391	3269
107	392	3242
108	396	3237
109	397	3215
110	398	3190
111	399	3164
112	400	3141
113	401	3117
114	401	3092
115	402	3067
116	403	3043
117	404	3019
118	405	3002
119	407	2985
120	407	2962
121	409	2946
122	410	2926
123	411	2906
124	412	2885
125	413	2865
126	413	2844
127	414	2823
128	415	2803
129	415	2783
130	416	2763
131	417	2743
132	417	2723
133	418	2703
134	418	2684
135	419	2665
136	420	2646
137	420	2628
138	421	2610
139	421	2592
140	422	2574
141	424	2563
142	425	2548
143	426	2532
144	426	2515
145	427	2498
146	427	2481
147	428	2465
148	428	2449
149	429	2433
150	430	2417
151	430	2402
152	431	2387
153	431	2372
154	432	2358
155	433	2344
156	433	2329
157	434	2315
158	435	2301
159	435	2287
160	436	2273
161	436	2259
162	437	2246
163	439	2239
164	440	2226
165	440	2214
166	441	2202
167	442	2189
168	442	2177
169	443	2164
170	443	2152
